,state,year,District,Murder
0,ANDHRA PRADESH,2001,RANGA REDDY,214
1,ARUNACHAL PRADESH,2001,LOHIT,16
2,ASSAM,2001,DIBRUGARH,110
3,BIHAR,2001,PATNA,434
4,CHHATTISGARH,2001,SARGUJA,105
5,GOA,2001,NORTH GOA,22
6,GUJARAT,2001,SURAT COMMR.,98
7,HARYANA,2001,SONIPAT,73
8,HIMACHAL PRADESH,2001,KANGRA,24
9,JAMMU & KASHMIR,2001,BARAMULLA,144
10,JHARKHAND,2001,RANCHI,243
11,KARNATAKA,2001,BANGALORE COMMR.,221
12,KERALA,2001,TRIVANDRUM,53
13,MADHYA PRADESH,2001,JHABUA,124
14,MAHARASHTRA,2001,MUMBAI,295
15,MANIPUR,2001,IMPHAL(WEST),44
16,MEGHALAYA,2001,KHASI HILLS EAST,50
17,MIZORAM,2001,AIZAWL,12
18,NAGALAND,2001,DIMAPUR,36
19,ODISHA,2001,MAYURBHANJ,74
20,PUNJAB,2001,LUDHIANA,74
21,PUNJAB,2001,JALANDHAR,74
22,RAJASTHAN,2001,JAIPUR,91
23,SIKKIM,2001,EAST,13
24,TAMIL NADU,2001,CHENNAI,91
25,TRIPURA,2001,WEST,125
26,UTTAR PRADESH,2001,MUZAFFARNAGAR,324
27,UTTARAKHAND,2001,HARIDWAR,94
28,WEST BENGAL,2001,24 PARGANAS NORTH,202
29,A & N ISLANDS,2001,TOTAL,13
30,A & N ISLANDS,2001,ANDAMAN,13
31,CHANDIGARH,2001,TOTAL,15
32,CHANDIGARH,2001,CHANDIGARH,15
33,D & N HAVELI,2001,TOTAL,3
34,D & N HAVELI,2001,D and N HAVELI,3
35,DAMAN & DIU,2001,DAMAN,6
36,DELHI UT,2001,DELHI UT TOTAL,547
37,LAKSHADWEEP,2001,TOTAL,1
38,LAKSHADWEEP,2001,LAKSHADWEEP,1
39,PUDUCHERRY,2001,TOTAL,25
40,PUDUCHERRY,2001,PONDICHERRY,25
41,ANDHRA PRADESH,2002,RANGA REDDY,214
42,ARUNACHAL PRADESH,2002,LOHIT,14
43,ASSAM,2002,TINSUKIA,115
44,BIHAR,2002,PATNA,472
45,CHHATTISGARH,2002,SARGUJA,101
46,GOA,2002,NORTH GOA,18
47,GUJARAT,2002,AHMEDABAD COMMR.,222
48,HARYANA,2002,SONIPAT,82
49,HIMACHAL PRADESH,2002,KANGRA,28
50,JAMMU & KASHMIR,2002,BARAMULLA,121
51,JHARKHAND,2002,RANCHI,270
52,KARNATAKA,2002,BANGALORE COMMR.,201
53,KERALA,2002,TRIVANDRUM,58
54,MADHYA PRADESH,2002,JHABUA,133
55,MAHARASHTRA,2002,MUMBAI,252
56,MANIPUR,2002,IMPHAL(WEST),32
57,MEGHALAYA,2002,KHASI HILLS EAST,48
